country_clean,total_titles,avg_rating
"'NO', 'CA'",1,6.9
"'CO', 'ES'",1,2.8
"'CN', 'DE', 'GB'",1,3.7
"'NO', 'DE'",1,5.1
"'ES', 'PT'",1,4.3
"'IL', 'US'",1,5.6
"'ES', 'BE', 'DE'",1,5.6
"'TH', 'US'",1,0
"'US', 'FR', 'ES'",1,6.6
"'ES', 'FR', 'AR'",1,6.4
"'NL', 'PL', 'UA', 'GB', 'US'",1,5
"'QA', 'PS'",1,0
"'RS', 'UY', 'AR'",1,7.1
"'FR', 'IT'",1,6.2
"'CA', 'LK'",1,6.4
"'US', 'AR'",1,7.2
"'EG', 'US'",1,7.2
"'US', 'IN'",2,6.4
"'FR', 'LU', 'BE', 'KH'",1,6.8
"'US', 'BE', 'ES'",1,5.6
"'CA', 'FR', 'JP', 'GB', 'US'",1,4.3
"'AT', 'DE'",2,5.55
"'US', 'GB', 'DE'",1,6.6
"'FR', 'MX', 'CO'",1,5.6
"'BR', 'FR'",1,6.5
'JO',2,5.35
"'FR', 'IN', 'QA'",1,6.2
"'AR', 'PE'",1,7.3
'MU',1,5.4
"'DE', 'DK', 'EG'",1,7.8
"'US', 'IE'",1,7.1
'IO',3,4.5
"'TW', 'CN'",2,5.8
"'FR', 'NL', 'SG'",1,6.2
'SN',1,6.3
'UY',2,6.3
"'DE', 'IN', 'AT'",1,7
"'MA', 'FR', 'QA'",1,6.5
"'PS', 'PH'",1,4.4
"'EG', 'SA'",1,5.5
"'ES', 'CN'",1,0
"'CL', 'AR', 'CA'",1,6.1
"'AR', 'CO'",1,5.8
"'GT', 'UY'",1,6.6
"'AF', 'DE', 'PS'",1,0
"'ZA', 'AO'",1,3.8
"'HK', 'PH'",1,7.3
"'SG', 'MY'",1,5.3
"'SE', 'US'",1,5
"'LB', 'US', 'NL', 'CA'",1,6.8
"'NL', 'PS', 'US', 'LB'",1,0
"'DK', 'LB', 'GB'",1,0
"'UY', 'MX', 'ES'",1,6.1
"'PH', 'JP'",1,6.2
"'CN', 'JP', 'US'",1,6.6
'NA',1,0
"'LB', 'QA', 'SY', 'FR'",1,6.1
"'PS', 'DK', 'LB'",1,7.4
"'US', 'CZ'",1,6.6
"'GB', 'AU', 'CA', 'GR', 'NZ'",1,6.8
"'GR', 'GB', 'US'",1,6.7
"'DE', 'FR'",1,6.9
"'NL', 'US'",1,7.3
"'AT', 'GB', 'US'",1,8
"'CH', 'DE'",1,5.3
"'GB', 'US', 'DE'",1,7.1
"'DK', 'IS'",1,6.5
"'FR', 'DE', 'US'",1,6
"'US', 'JP', 'TH'",1,6.2
"'FR', 'DE'",2,5.95
